Date;Close;Open;High;Low;Volume
15.08.2023; $43,94 ; $44,56 ; $45,27 ; $43,71 ;676 511 510
16.08.2023; $43,49 ; $44,52 ; $44,68 ; $43,41 ;527 450 680
17.08.2023; $43,34 ; $43,97 ; $44,06 ; $43,00 ;452 394 820
18.08.2023; $43,30 ; $42,64 ; $43,58 ; $41,66 ;583 767 870
21.08.2023; $46,97 ; $44,49 ; $47,07 ; $44,22 ;692 573 370
22.08.2023; $45,67 ; $48,14 ; $48,19 ; $45,33 ;757 206 910
23.08.2023; $47,12 ; $45,87 ; $47,20 ; $45,21 ;779 046 080
24.08.2023; $47,16 ; $50,22 ; $50,27 ; $47,16 ;1 156 044 090
25.08.2023; $46,02 ; $47,01 ; $47,81 ; $45,02 ;925 340 520
28.08.2023; $46,84 ; $46,48 ; $46,98 ; $44,89 ;685 192 230
29.08.2023; $48,78 ; $46,67 ; $49,08 ; $46,39 ;701 396 990
30.08.2023; $49,26 ; $49,04 ; $49,93 ; $48,43 ;735 205 980
31.08.2023; $49,36 ; $49,38 ; $49,74 ; $48,96 ;528 569 770
01.09.2023; $48,51 ; $49,76 ; $49,80 ; $48,14 ;463 830 300
05.09.2023; $48,55 ; $48,22 ; $48,85 ; $47,86 ;382 652 580
06.09.2023; $47,06 ; $48,44 ; $48,55 ; $46,58 ;468 669 570
07.09.2023; $46,24 ; $45,53 ; $46,34 ; $45,15 ;433 329 890
08.09.2023; $45,57 ; $45,94 ; $46,61 ; $45,27 ;473 899 940
11.09.2023; $45,18 ; $46,15 ; $46,16 ; $44,31 ;473 965 550
12.09.2023; $44,87 ; $44,74 ; $45,67 ; $44,53 ;349 256 340
13.09.2023; $45,49 ; $44,60 ; $45,93 ; $44,50 ;398 355 350
14.09.2023; $45,58 ; $45,95 ; $45,99 ; $45,13 ;370 097 200
15.09.2023; $43,90 ; $45,34 ; $45,60 ; $43,81 ;506 830 510
18.09.2023; $43,97 ; $42,75 ; $44,24 ; $42,00 ;500 270 790
19.09.2023; $43,52 ; $43,83 ; $43,97 ; $43,00 ;373 064 240
20.09.2023; $42,24 ; $43,60 ; $43,90 ; $42,22 ;367 107 690
21.09.2023; $41,02 ; $41,58 ; $42,10 ; $40,98 ;450 735 960
22.09.2023; $41,61 ; $41,57 ; $42,12 ; $41,23 ;479 236 310
25.09.2023; $42,22 ; $41,59 ; $42,54 ; $41,18 ;419 090 960
26.09.2023; $41,91 ; $42,00 ; $42,82 ; $41,66 ;402 282 090
27.09.2023; $42,47 ; $42,33 ; $42,87 ; $41,63 ;444 935 200
28.09.2023; $43,09 ; $42,46 ; $43,45 ; $42,12 ;424 662 790
29.09.2023; $43,50 ; $43,83 ; $44,14 ; $43,31 ;397 829 930
02.10.2023; $44,78 ; $44,03 ; $45,18 ; $43,86 ;433 298 210
03.10.2023; $43,52 ; $44,81 ; $45,13 ; $43,25 ;470 849 540
04.10.2023; $44,04 ; $43,74 ; $44,14 ; $43,29 ;361 820 860
05.10.2023; $44,69 ; $44,05 ; $44,90 ; $43,89 ;393 483 090
06.10.2023; $45,76 ; $44,19 ; $45,79 ; $44,03 ;434 436 020
09.10.2023; $45,27 ; $44,84 ; $45,61 ; $44,37 ;409 674 720
10.10.2023; $45,80 ; $45,31 ; $46,26 ; $45,09 ;368 582 080
11.10.2023; $46,81 ; $46,20 ; $46,86 ; $46,05 ;378 136 890
12.10.2023; $46,95 ; $46,78 ; $47,61 ; $46,33 ;481 325 000
13.10.2023; $45,46 ; $46,96 ; $47,12 ; $45,28 ;475 425 990
16.10.2023; $46,10 ; $45,06 ; $46,23 ; $44,91 ;375 099 240
17.10.2023; $43,94 ; $44,00 ; $44,75 ; $42,48 ;812 332 670
18.10.2023; $42,20 ; $42,59 ; $43,22 ; $41,83 ;627 294 340
19.10.2023; $42,10 ; $42,81 ; $43,30 ; $41,88 ;501 233 080
20.10.2023; $41,39 ; $41,89 ; $42,47 ; $41,08 ;477 266 050
23.10.2023; $42,98 ; $41,23 ; $43,25 ; $40,95 ;478 530 490
24.10.2023; $43,66 ; $43,08 ; $43,70 ; $42,69 ;401 463 370
25.10.2023; $41,78 ; $43,40 ; $43,65 ; $41,56 ;398 379 220
26.10.2023; $40,33 ; $41,85 ; $42,26 ; $39,88 ;541 001 320
27.10.2023; $40,50 ; $41,13 ; $41,21 ; $40,02 ;416 784 410
30.10.2023; $41,16 ; $41,09 ; $41,77 ; $40,48 ;388 028 140
31.10.2023; $40,78 ; $40,45 ; $40,88 ; $39,23 ;517 968 700
01.11.2023; $42,33 ; $40,88 ; $42,38 ; $40,87 ;437 592 900
